|    CIFKEY      |                                                                 ADDRESS_LINE_ORIGIN                                                                   |                                          ADDRESS_LINE_EN                                            |                                DEPARTMENT                                  |                              SUB DEPARTMENT                                |                                STREET NAME                                 |   BUILDING NUMBER    |             BUILDING NAME               |                                   FLOOR                                    |      POST BOX        |                                   ROOM                                     |      POST CODE       |               TOWN NAME                 |           TOWN LOCATION NAME            |             DISTRICT NAME               |          COUNTRY SUB DIVISION           |COUNTRY |                               ADDRESS LINE                                 |               OTHER                |             ERROR_MESSAGE               |                                        ADDRESS_LINE_REBUILD                                         |
|5326            |***** For 'FLOOR' test data! *****                                                                                                                     |Unit F1, M/F, 4678 Broadway, Austin, WA 83821, UK                                                    |                                                                            |                                                                            |BROADWAY                                                                    |4678                  |                                         |M/F                                                                         |                      |UNIT F1                                                                     |83821                 |                                         |AUSTIN                                   |                                         |WA                                       |GB      |                                                                            |                                    |                                         |UNIT F1, M/F, 4678, BROADWAY, AUSTIN, WA, 83821, GB                                                  |
|23              |333 第三批測試資料 333                                                                                                                                 |Suite 501, 5th Floor, Sunshine Tower, 3-1-1 Higashiikebukuro, Toshima-ku, Tokyo 170-6059, Japan      |                                                                            |                                                                            |HIGASHIIKEBUKURO                                                            |3-1-1                 |SUNSHINE TOWER                           |5TH FLOOR                                                                   |                      |SUITE 501                                                                   |170-6059              |                                         |TOKYO                                    |TOSHIMA-KU                               |                                         |JP      |                                                                            |                                    |                                         |SUITE 501, 5TH FLOOR, SUNSHINE TOWER, 3-1-1, HIGASHIIKEBUKURO, TOSHIMA-KU, TOKYO, 170-6059, JP       |
|1515955763      |333 第三批測試資料 333                                                                                                                                 |123 Main St, Los Angeles, CA 90001, United States                                                    |                                                                            |                                                                            |MAIN ST.                                                                    |123                   |                                         |                                                                            |                      |                                                                            |90001                 |                                         |LOS ANGELES                              |                                         |CA                                       |US      |                                                                            |                                    |                                         |123, MAIN ST., LOS ANGELES, CA, 90001, US                                                            |
|7934382346      |333 第三批測試資料 333                                                                                                                                 |456 Queen St, Auckland, Auckland Region 1010, New Zealand                                            |                                                                            |                                                                            |QUEEN ST.                                                                   |456                   |                                         |                                                                            |                      |                                                                            |1010                  |                                         |AUCKLAND                                 |                                         |AUCKLAND REGION                          |NZ      |                                                                            |                                    |                                         |456, QUEEN ST., AUCKLAND, AUCKLAND REGION, 1010, NZ                                                  |
|5947055322      |333 第三批測試資料 333                                                                                                                                 |789 Oxford St, London, Greater London W1D 2ES, United Kingdom                                        |                                                                            |                                                                            |OXFORD ST.                                                                  |789                   |                                         |                                                                            |                      |                                                                            |W1D 2ES               |                                         |LONDON                                   |                                         |GREATER LONDON                           |GB      |                                                                            |                                    |                                         |789, OXFORD ST., LONDON, GREATER LONDON, W1D 2ES, GB                                                 |
|8544670737      |333 第三批測試資料 333                                                                                                                                 |56 Via Roma, Rome, Lazio 00100, Italy                                                                |                                                                            |                                                                            |VIA ROMA                                                                    |56                    |                                         |                                                                            |                      |                                                                            |00100                 |                                         |ROME                                     |                                         |LAZIO                                    |IT      |                                                                            |                                    |                                         |56, VIA ROMA, ROME, LAZIO, 00100, IT                                                                 |
|1945600316      |333 第三批測試資料 333                                                                                                                                 |90 King St, Toronto, ON M5H 1A1, Canada                                                              |                                                                            |                                                                            |KING ST.                                                                    |90                    |                                         |                                                                            |                      |                                                                            |M5H 1A1               |                                         |TORONTO                                  |                                         |ON                                       |CA      |                                                                            |                                    |                                         |90, KING ST., TORONTO, ON, M5H 1A1, CA                                                               |
|4008883878      |333 第三批測試資料 333                                                                                                                                 |11 Orchard Rd, Singapore 238826, Singapore                                                           |                                                                            |                                                                            |ORCHARD RD.                                                                 |11                    |                                         |                                                                            |                      |                                                                            |238826                |                                         |SINGAPORE                                |                                         |                                         |SG      |                                                                            |                                    |                                         |11, ORCHARD RD., SINGAPORE, 238826, SG                                                               |
|2384209765      |333 第三批測試資料 333                                                                                                                                 |22 Nathan Rd, Kowloon, Hong Kong 999077, China                                                       |                                                                            |                                                                            |NATHAN RD.                                                                  |22                    |                                         |                                                                            |                      |                                                                            |999077                |                                         |KOWLOON                                  |                                         |HONG KONG                                |CN      |                                                                            |                                    |                                         |22, NATHAN RD., KOWLOON, HONG KONG, 999077, CN                                                       |
|5766857871      |333 第三批測試資料 333                                                                                                                                 |33 Xinyi Rd, Taipei City, Taipei 110, Taiwan (R.O.C.)                                                |                                                                            |                                                                            |XINYI RD.                                                                   |33                    |                                         |                                                                            |                      |                                                                            |110                   |                                         |TAIPEI CITY                              |                                         |TAIPEI                                   |TW      |                                                                            |                                    |                                         |33, XINYI RD., TAIPEI CITY, TAIPEI, 110, TW                                                          |
|4469447339      |333 第三批測試資料 333                                                                                                                                 |44 Nanjing Rd, Shanghai, Shanghai Municipality 200001, China                                         |                                                                            |                                                                            |NANJING RD.                                                                 |44                    |                                         |                                                                            |                      |                                                                            |200001                |                                         |SHANGHAI                                 |                                         |SHANGHAI MUNICIPALITY                    |CN      |                                                                            |                                    |                                         |44, NANJING RD., SHANGHAI, SHANGHAI MUNICIPALITY, 200001, CN                                         |
|7473909536      |333 第三批測試資料 333                                                                                                                                 |55 Shijo-dori, Kyoto, Kyoto 600-8001, Japan                                                          |                                                                            |                                                                            |SHIJO-DORI                                                                  |55                    |                                         |                                                                            |                      |                                                                            |600-8001              |                                         |KYOTO                                    |                                         |KYOTO                                    |JP      |                                                                            |                                    |                                         |55, SHIJO-DORI, KYOTO, KYOTO, 600-8001, JP                                                           |
|6767751544      |333 第三批測試資料 333                                                                                                                                 |77 Jalan Bukit Bintang, Kuala Lumpur, Federal Territory of Kuala Lumpur 55100, Malaysia              |                                                                            |                                                                            |JALAN BUKIT BINTANG                                                         |77                    |                                         |                                                                            |                      |                                                                            |55100                 |                                         |KUALA LUMPUR                             |                                         |FEDERAL TERRITORY OF KUALA LUMPUR        |MY      |                                                                            |                                    |                                         |77, JALAN BUKIT BINTANG, KUALA LUMPUR, FEDERAL TERRITORY OF KUALA LUMPUR, 55100, MY                  |
|3106477369      |333 第三批測試資料 333                                                                                                                                 |88 Sukhumvit Rd, Bangkok, Bangkok 10110, Thailand                                                    |                                                                            |                                                                            |SUKHUMVIT RD.                                                               |88                    |                                         |                                                                            |                      |                                                                            |10110                 |                                         |BANGKOK                                  |                                         |BANGKOK                                  |TH      |                                                                            |                                    |                                         |88, SUKHUMVIT RD., BANGKOK, BANGKOK, 10110, TH                                                       |
|857051200       |***** For 'STATE' test data! *****                                                                                                                     |123 George Street, Sydney, New South Wales 2000, Australia                                           |                                                                            |                                                                            |GEORGE STREET                                                               |123                   |                                         |                                                                            |                      |                                                                            |2000                  |                                         |SYDNEY                                   |                                         |NSW                                      |AU      |                                                                            |                                    |                                         |123, GEORGE STREET, SYDNEY, NSW, 2000, AU                                                            |
|857051200       |***** For 'STATE' test data! *****                                                                                                                     |123 George Street, Sydney, NSW 2000, Australia                                                       |                                                                            |                                                                            |GEORGE STREET                                                               |123                   |                                         |                                                                            |                      |                                                                            |2000                  |                                         |SYDNEY                                   |                                         |NSW                                      |AU      |                                                                            |                                    |                                         |123, GEORGE STREET, SYDNEY, NSW, 2000, AU                                                            |
|9824927098      |***** For 'STATE' test data! *****                                                                                                                     |456 Collins Street, Melbourne, Victoria 3000, Australia                                              |                                                                            |                                                                            |COLLINS STREET                                                              |456                   |                                         |                                                                            |                      |                                                                            |3000                  |                                         |MELBOURNE                                |                                         |VIC                                      |AU      |                                                                            |                                    |                                         |456, COLLINS STREET, MELBOURNE, VIC, 3000, AU                                                        |
|9824927098      |***** For 'STATE' test data! *****                                                                                                                     |456 Collins Street, Melbourne, VIC 3000, Australia                                                   |                                                                            |                                                                            |COLLINS STREET                                                              |456                   |                                         |                                                                            |                      |                                                                            |3000                  |                                         |MELBOURNE                                |                                         |VIC                                      |AU      |                                                                            |                                    |                                         |456, COLLINS STREET, MELBOURNE, VIC, 3000, AU                                                        |
|9073010488      |***** For 'STATE' test data! *****                                                                                                                     |789 Queen Street, Brisbane, Queensland 4000, Australia                                               |                                                                            |                                                                            |QUEEN STREET                                                                |789                   |                                         |                                                                            |                      |                                                                            |4000                  |                                         |BRISBANE                                 |                                         |QLD                                      |AU      |                                                                            |                                    |                                         |789, QUEEN STREET, BRISBANE, QLD, 4000, AU                                                           |
|9073010488      |***** For 'STATE' test data! *****                                                                                                                     |789 Queen Street, Brisbane, QLD 4000, Australia                                                      |                                                                            |                                                                            |QUEEN STREET                                                                |789                   |                                         |                                                                            |                      |                                                                            |4000                  |                                         |BRISBANE                                 |                                         |QLD                                      |AU      |                                                                            |                                    |                                         |789, QUEEN STREET, BRISBANE, QLD, 4000, AU                                                           |
|3396736021      |***** For 'STATE' test data! *****                                                                                                                     |12 King William Street, Adelaide, South Australia 5000, Australia                                    |                                                                            |                                                                            |KING WILLIAM STREET                                                         |12                    |                                         |                                                                            |                      |                                                                            |5000                  |                                         |ADELAIDE                                 |                                         |SA                                       |AU      |                                                                            |                                    |                                         |12, KING WILLIAM STREET, ADELAIDE, SA, 5000, AU                                                      |
|3396736021      |***** For 'STATE' test data! *****                                                                                                                     |12 King William Street, Adelaide, SA 5000, Australia                                                 |                                                                            |                                                                            |KING WILLIAM STREET                                                         |12                    |                                         |                                                                            |                      |                                                                            |5000                  |                                         |ADELAIDE                                 |                                         |SA                                       |AU      |                                                                            |                                    |                                         |12, KING WILLIAM STREET, ADELAIDE, SA, 5000, AU                                                      |
|4114030485      |***** For 'STATE' test data! *****                                                                                                                     |34 Hay Street, Perth, Western Australia 6000, Australia                                              |                                                                            |                                                                            |HAY STREET                                                                  |34                    |                                         |                                                                            |                      |                                                                            |6000                  |                                         |PERTH                                    |                                         |WA                                       |AU      |                                                                            |                                    |                                         |34, HAY STREET, PERTH, WA, 6000, AU                                                                  |
|4114030485      |***** For 'STATE' test data! *****                                                                                                                     |34 Hay Street, Perth, WA 6000, Australia                                                             |                                                                            |                                                                            |HAY STREET                                                                  |34                    |                                         |                                                                            |                      |                                                                            |6000                  |                                         |PERTH                                    |                                         |WA                                       |AU      |                                                                            |                                    |                                         |34, HAY STREET, PERTH, WA, 6000, AU                                                                  |
|3746708620      |***** For 'STATE' test data! *****                                                                                                                     |56 Davey Street, Hobart, Tasmania 7000, Australia                                                    |                                                                            |                                                                            |DAVEY STREET                                                                |56                    |                                         |                                                                            |                      |                                                                            |7000                  |                                         |HOBART                                   |                                         |TAS                                      |AU      |                                                                            |                                    |                                         |56, DAVEY STREET, HOBART, TAS, 7000, AU                                                              |
|3746708620      |***** For 'STATE' test data! *****                                                                                                                     |56 Davey Street, Hobart, TAS 7000, Australia                                                         |                                                                            |                                                                            |DAVEY STREET                                                                |56                    |                                         |                                                                            |                      |                                                                            |7000                  |                                         |HOBART                                   |                                         |TAS                                      |AU      |                                                                            |                                    |                                         |56, DAVEY STREET, HOBART, TAS, 7000, AU                                                              |
|109702772       |***** For 'STATE' test data! *****                                                                                                                     |78 Smith Street, Darwin, Northern Territory 0800, Australia                                          |                                                                            |                                                                            |SMITH STREET                                                                |78                    |                                         |                                                                            |                      |                                                                            |0800                  |                                         |DARWIN                                   |                                         |NT                                       |AU      |                                                                            |                                    |                                         |78, SMITH STREET, DARWIN, NT, 0800, AU                                                               |
|109702772       |***** For 'STATE' test data! *****                                                                                                                     |78 Smith Street, Darwin, NT 0800, Australia                                                          |                                                                            |                                                                            |SMITH STREET                                                                |78                    |                                         |                                                                            |                      |                                                                            |0800                  |                                         |DARWIN                                   |                                         |NT                                       |AU      |                                                                            |                                    |                                         |78, SMITH STREET, DARWIN, NT, 0800, AU                                                               |
|5124845014      |***** For 'STATE' test data! *****                                                                                                                     |90 Constitution Avenue, Canberra, Australian Capital Territory 2601, Australia                       |                                                                            |                                                                            |CONSTITUTION AVENUE                                                         |90                    |                                         |                                                                            |                      |                                                                            |2601                  |                                         |CANBERRA                                 |                                         |ACT                                      |AU      |                                                                            |                                    |                                         |90, CONSTITUTION AVENUE, CANBERRA, ACT, 2601, AU                                                     |
|5124845014      |***** For 'STATE' test data! *****                                                                                                                     |90 Constitution Avenue, Canberra, ACT 2601, Australia                                                |                                                                            |                                                                            |CONSTITUTION AVENUE                                                         |90                    |                                         |                                                                            |                      |                                                                            |2601                  |                                         |CANBERRA                                 |                                         |ACT                                      |AU      |                                                                            |                                    |                                         |90, CONSTITUTION AVENUE, CANBERRA, ACT, 2601, AU                                                     |
|2858876485      |***** For 'STATE' test data! *****                                                                                                                     |1 Marine Drive, New Delhi, Delhi 110001, India                                                       |                                                                            |                                                                            |MARINE DRIVE                                                                |1                     |                                         |                                                                            |                      |                                                                            |110001                |                                         |NEW DELHI                                |                                         |DL                                       |IN      |                                                                            |                                    |                                         |1, MARINE DRIVE, NEW DELHI, DL, 110001, IN                                                           |
|2858876485      |***** For 'STATE' test data! *****                                                                                                                     |1 Marine Drive, New Delhi, DL 110001, India                                                          |                                                                            |                                                                            |MARINE DRIVE                                                                |1                     |                                         |                                                                            |                      |                                                                            |110001                |                                         |NEW DELHI                                |                                         |DL                                       |IN      |                                                                            |                                    |                                         |1, MARINE DRIVE, NEW DELHI, DL, 110001, IN                                                           |
|8779025400      |***** For 'STATE' test data! *****                                                                                                                     |23 Beach Road, Puducherry, Puducherry 605001, India                                                  |                                                                            |                                                                            |BEACH ROAD                                                                  |23                    |                                         |                                                                            |                      |                                                                            |605001                |                                         |PUDUCHERRY                               |                                         |PY                                       |IN      |                                                                            |                                    |                                         |23, BEACH ROAD, PUDUCHERRY, PY, 605001, IN                                                           |
|8779025400      |***** For 'STATE' test data! *****                                                                                                                     |23 Beach Road, Puducherry, PY 605001, India                                                          |                                                                            |                                                                            |BEACH ROAD                                                                  |23                    |                                         |                                                                            |                      |                                                                            |605001                |                                         |PUDUCHERRY                               |                                         |PY                                       |IN      |                                                                            |                                    |                                         |23, BEACH ROAD, PUDUCHERRY, PY, 605001, IN                                                           |
|6337970788      |***** For 'STATE' test data! *****                                                                                                                     |45 River Street, Chandigarh, Chandigarh 160001, India                                                |                                                                            |                                                                            |RIVER STREET                                                                |45                    |                                         |                                                                            |                      |                                                                            |160001                |                                         |CHANDIGARH                               |                                         |CH                                       |IN      |                                                                            |                                    |                                         |45, RIVER STREET, CHANDIGARH, CH, 160001, IN                                                         |
|6337970788      |***** For 'STATE' test data! *****                                                                                                                     |45 River Street, Chandigarh, CH 160001, India                                                        |                                                                            |                                                                            |RIVER STREET                                                                |45                    |                                         |                                                                            |                      |                                                                            |160001                |                                         |CHANDIGARH                               |                                         |CH                                       |IN      |                                                                            |                                    |                                         |45, RIVER STREET, CHANDIGARH, CH, 160001, IN                                                         |
|7053173206      |***** For 'STATE' test data! *****                                                                                                                     |67 Palace Avenue, Lakshadweep, Lakshadweep 682555, India                                             |                                                                            |                                                                            |PALACE AVENUE                                                               |67                    |                                         |                                                                            |                      |                                                                            |682555                |                                         |LAKSHADWEEP                              |                                         |LD                                       |IN      |                                                                            |                                    |                                         |67, PALACE AVENUE, LAKSHADWEEP, LD, 682555, IN                                                       |
|7053173206      |***** For 'STATE' test data! *****                                                                                                                     |67 Palace Avenue, Lakshadweep, LD 682555, India                                                      |                                                                            |                                                                            |PALACE AVENUE                                                               |67                    |                                         |                                                                            |                      |                                                                            |682555                |                                         |LAKSHADWEEP                              |                                         |LD                                       |IN      |                                                                            |                                    |                                         |67, PALACE AVENUE, LAKSHADWEEP, LD, 682555, IN                                                       |
|4894950860      |***** For 'STATE' test data! *****                                                                                                                     |89 Hilltop Lane, Dadra and Nagar Haveli and Daman and Diu 396230, India                              |                                                                            |                                                                            |HILLTOP LANE                                                                |89                    |                                         |                                                                            |                      |                                                                            |396230                |                                         |                                         |                                         |DNHDD                                    |IN      |                                                                            |                                    |PLEASE ENTER CITY OR PROVINCE.           |89, HILLTOP LANE, DNHDD, 396230, IN                                                                  |
|4894950860      |***** For 'STATE' test data! *****                                                                                                                     |89 Hilltop Lane, DNHDD 396230, India                                                                 |                                                                            |                                                                            |HILLTOP LANE                                                                |89                    |                                         |                                                                            |                      |                                                                            |396230                |                                         |                                         |                                         |DNHDD                                    |IN      |                                                                            |                                    |PLEASE ENTER CITY OR PROVINCE.           |89, HILLTOP LANE, DNHDD, 396230, IN                                                                  |
|7338046995      |***** For 'STATE' test data! *****                                                                                                                     |12 Island Road, Andaman and Nicobar Islands 744101, India                                            |                                                                            |                                                                            |ISLAND ROAD                                                                 |12                    |                                         |                                                                            |                      |                                                                            |744101                |                                         |                                         |                                         |AN                                       |IN      |                                                                            |                                    |PLEASE ENTER CITY OR PROVINCE.           |12, ISLAND ROAD, AN, 744101, IN                                                                      |
|7338046995      |***** For 'STATE' test data! *****                                                                                                                     |12 Island Road, AN 744101, India                                                                     |                                                                            |                                                                            |ISLAND ROAD                                                                 |12                    |                                         |                                                                            |                      |                                                                            |744101                |                                         |                                         |                                         |AN                                       |IN      |                                                                            |                                    |PLEASE ENTER CITY OR PROVINCE.           |12, ISLAND ROAD, AN, 744101, IN                                                                      |
|8607782341      |***** For 'STATE' test data! *****                                                                                                                     |34 Desert Street, Ladakh, Ladakh 194101, India                                                       |                                                                            |                                                                            |DESERT STREET                                                               |34                    |                                         |                                                                            |                      |                                                                            |194101                |                                         |LADAKH                                   |                                         |LA                                       |IN      |                                                                            |                                    |                                         |34, DESERT STREET, LADAKH, LA, 194101, IN                                                            |
|8607782341      |***** For 'STATE' test data! *****                                                                                                                     |34 Desert Street, Ladakh, LA 194101, India                                                           |                                                                            |                                                                            |DESERT STREET                                                               |34                    |                                         |                                                                            |                      |                                                                            |194101                |                                         |LADAKH                                   |                                         |LA                                       |IN      |                                                                            |                                    |                                         |34, DESERT STREET, LADAKH, LA, 194101, IN                                                            |
|5495661039      |***** For 'STATE' test data! *****                                                                                                                     |56 Ghat Road, Jammu, Jammu and Kashmir 180001, India                                                 |                                                                            |                                                                            |GHAT ROAD                                                                   |56                    |                                         |                                                                            |                      |                                                                            |180001                |                                         |JAMMU                                    |                                         |J&K                                      |IN      |                                                                            |                                    |                                         |56, GHAT ROAD, JAMMU, J&K, 180001, IN                                                                |
|5495661039      |***** For 'STATE' test data! *****                                                                                                                     |56 Ghat Road, Jammu, J&K 180001, India                                                               |                                                                            |                                                                            |GHAT ROAD                                                                   |56                    |                                         |                                                                            |                      |                                                                            |180001                |                                         |JAMMU                                    |                                         |J&K                                      |IN      |                                                                            |                                    |                                         |56, GHAT ROAD, JAMMU, J&K, 180001, IN                                                                |
|8013883702      |***** For 'STATE' test data! *****                                                                                                                     |78 Fort Street, Kargil, Jammu and Kashmir 194103, India                                              |                                                                            |                                                                            |FORT STREET                                                                 |78                    |                                         |                                                                            |                      |                                                                            |194103                |                                         |KARGIL                                   |                                         |J&K                                      |IN      |                                                                            |                                    |                                         |78, FORT STREET, KARGIL, J&K, 194103, IN                                                             |
|8013883702      |***** For 'STATE' test data! *****                                                                                                                     |78 Fort Street, Kargil, J&K 194103, India                                                            |                                                                            |                                                                            |FORT STREET                                                                 |78                    |                                         |                                                                            |                      |                                                                            |194103                |                                         |KARGIL                                   |                                         |J&K                                      |IN      |                                                                            |                                    |                                         |78, FORT STREET, KARGIL, J&K, 194103, IN                                                             |
|2157969015      |***** CBPRPLUS測試資料 *****                                                                                                                           |Finance Dept., Payroll Section, Room 3, 2F Sherlock House, 221B Baker Street, Marylebone, London, Gr |FINANCE DEPT.                                                               |PAYROLL SECTION                                                             |BAKER STREET                                                                |221B                  |SHERLOCK HOUSE                           |2F                                                                          |                      |ROOM 3                                                                      |NW1 6XE               |                                         |MARYLEBONE                               |LONDON                                   |ENGLAND                                  |GB      |                                                                            |                                    |                                         |FINANCE DEPT., PAYROLL SECTION, ROOM 3, 2F, SHERLOCK HOUSE, 221B, BAKER STREET, LONDON, MARYLEBONE,  |
|3921841333      |***** CBPRPLUS測試資料 *****                                                                                                                           |Admissions Office, International Students, Room 105, 1F Oxford Main Hall, 12 University Ave, P.O. Bo |ADMISSIONS OFFICE                                                           |                                                                            |INTERNATIONAL STUDENTS, UNIVERSITY AVE.                                     |12                    |OXFORD MAIN HALL                         |1F                                                                          |P.O. Box 87           |ROOM 105                                                                    |OX1 2JD               |                                         |OXFORD                                   |                                         |ENGLAND                                  |GB      |                                                                            |                                    |                                         |ADMISSIONS OFFICE, ROOM 105, 1F, OXFORD MAIN HALL, 12, INTERNATIONAL STUDENTS, UNIVERSITY AVE., P.O. |
|7585467623      |***** CBPRPLUS測試資料 *****                                                                                                                           |Sales Division, East Asia Team, Room 1003, 10F Taipei Trade Tower, No.88 Zhongxiao East Rd., Xinyi D |SALES DIVISION                                                              |EAST ASIA TEAM                                                              |ZHONGXIAO EAST RD.                                                          |NO. 88                |TAIPEI TRADE TOWER                       |10F                                                                         |                      |ROOM 1003                                                                   |110                   |                                         |TAIPEI CITY                              |XINYI DISTRICT                           |XINYI                                    |TW      |                                                                            |                                    |                                         |SALES DIVISION, EAST ASIA TEAM, ROOM 1003, 10F, TAIPEI TRADE TOWER, NO. 88, ZHONGXIAO EAST RD., XINY |
|735244907       |***** CBPRPLUS測試資料 *****                                                                                                                           |HR Department, Recruitment Unit, Room 701, 7F Emerald Building, 15 Orchard Road, P.O. Box 402, Orcha |HR DEPARTMENT                                                               |RECRUITMENT UNIT                                                            |ORCHARD ROAD                                                                |15                    |EMERALD BUILDING                         |7F                                                                          |P.O. Box 402          |ROOM 701                                                                    |238888                |                                         |ORCHARD                                  |CENTRAL AREA                             |                                         |SG      |                                                                            |                                    |                                         |HR DEPARTMENT, RECRUITMENT UNIT, ROOM 701, 7F, EMERALD BUILDING, 15, ORCHARD ROAD, P.O. Box 402, CEN |
|8726288661      |***** CBPRPLUS測試資料 *****                                                                                                                           |Engineering, Software Group, Room 1805, 18F Midtown Plaza, 350 5th Avenue, Manhattan, New York, New  |ENGINEERING                                                                 |SOFTWARE GROUP                                                              |5TH AVENUE                                                                  |350                   |MIDTOWN PLAZA                            |18F                                                                         |                      |ROOM 1805                                                                   |10018                 |NEW YORK                                 |MANHATTAN                                |                                         |NY                                       |US      |                                                                            |                                    |                                         |ENGINEERING, SOFTWARE GROUP, ROOM 1805, 18F, MIDTOWN PLAZA, 350, 5TH AVENUE, NEW YORK, MANHATTAN, NE |
|6276798469      |***** CBPRPLUS測試資料 *****                                                                                                                           |Research Dept., Biotech Lab, Room 305, 3F BioInnovation Centre, 42 Science Park Rd, Cambridge, Cambr |RESEARCH DEPT.                                                              |BIOTECH LAB                                                                 |SCIENCE PARK RD.                                                            |42                    |BIOINNOVATION CENTRE                     |3F                                                                          |                      |ROOM 305                                                                    |CB4 0GA               |                                         |CAMBRIDGE                                |                                         |ENGLAND                                  |GB      |                                                                            |                                    |                                         |RESEARCH DEPT., BIOTECH LAB, ROOM 305, 3F, BIOINNOVATION CENTRE, 42, SCIENCE PARK RD., CAMBRIDGE, CA |
|875388202       |***** CBPRPLUS測試資料 *****                                                                                                                           |Logistics, Warehouse A, Room 504, 5F Al Noor Tower, 789 Sheikh Zayed Rd, P.O. Box 2784, Al Wasl, Bur |                                                                            |                                                                            |LOGISTICS, SHEIKH ZAYED RD.                                                 |789                   |AL NOOR TOWER                            |5F                                                                          |P.O. Box 2784         |ROOM 504                                                                    |                      |DUBAI                                    |WAREHOUSE A                              |AL WASL                                  |DUBAI EMIRATE                            |AE      |                                                                            |                                    |PLEASE ENTER POSTAL CODE.                |ROOM 504, 5F, AL NOOR TOWER, 789, LOGISTICS, SHEIKH ZAYED RD., DUBAI, P.O. Box 2784, AL WASL, WAREHO |
|4174074646      |***** CBPRPLUS測試資料 *****                                                                                                                           |Customer Service, Claims Unit, Room 901, 9F Melbourne Centre, 120 Collins St, CBD, Victoria District |CUSTOMER SERVICE                                                            |CLAIMS UNIT                                                                 |COLLINS ST.                                                                 |120                   |MELBOURNE CENTRE                         |9F                                                                          |                      |ROOM 901                                                                    |3000                  |                                         |CBD                                      |VICTORIA DISTRICT                        |VIC                                      |AU      |                                                                            |                                    |                                         |CUSTOMER SERVICE, CLAIMS UNIT, ROOM 901, 9F, MELBOURNE CENTRE, 120, COLLINS ST., VICTORIA DISTRICT,  |
|2141430407      |***** CBPRPLUS測試資料 *****                                                                                                                           |Accounting, Tax Division, Room 1102, 11F Sea View Complex, 56 Marine Drive, Churchgate, South Mumbai |ACCOUNTING                                                                  |TAX DIVISION                                                                |MARINE DRIVE                                                                |56                    |SEA VIEW COMPLEX                         |11F                                                                         |                      |ROOM 1102                                                                   |400002                |                                         |SOUTH MUMBAI                             |CHURCHGATE                               |MH                                       |IN      |                                                                            |                                    |                                         |ACCOUNTING, TAX DIVISION, ROOM 1102, 11F, SEA VIEW COMPLEX, 56, MARINE DRIVE, CHURCHGATE, SOUTH MUMB |
|9178807247      |***** CBPRPLUS測試資料 *****                                                                                                                           |Legal Affairs, Corporate Compliance, Room 1403, 14F Edificio Central, 1320 Avenida Paulista, P.O. Bo |                                                                            |                                                                            |LEGAL AFFAIRS                                                               |1320                  |EDIFICIO CENTRAL                         |14F                                                                         |P.O. Box 912          |ROOM 1403                                                                   |01310-100             |                                         |CORPORATE COMPLIANCE                     |BELA VISTA                               |SP                                       |BR      |                                                                            |                                    |                                         |ROOM 1403, 14F, EDIFICIO CENTRAL, 1320, LEGAL AFFAIRS, P.O. Box 912, BELA VISTA, CORPORATE COMPLIANC |
|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------|-----------------------------------------|----------------------------------------------------------------------------|----------------------|----------------------------------------------------------------------------|----------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------|----------------------------------------------------------------------------|------------------------------------|-----------------------------------------|-----------------------------------------------------------------------------------------------------|
| TOTAL ITEMS:  114, ERROR ITEMS:   11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
